sample,n_matches,p_weighted_covered
ERR1522603,0,0.0
ERR1522605,2,60.0
ERR1522661,1,90.9
ERR1522809,0,0.0
ERR1522864,1,57.1
ERR1523172,1,30.8
ERR1523192,1,90.9
ERR1523203,0,0.0
ERR1523207,1,20.0
ERR1523231,1,85.7
ERR1523243,0,0.0
ERR1523257,1,33.3
ERR1523636,0,0.0
ERR1523674,1,21.7
ERR1523700,0,0.0
ERR1523733,1,7.1
ERR1523736,1,33.3
ERR1523740,0,0.0
ERR1523770,1,12.5
ERR1523878,84,27.5
ERR1523934,118,36.2
ERR1524106,0,0.0
ERR1525439,627,33.9
ERR1529660,1,20.0
ERR1529741,1,50.0
ERR1529787,2,28.6
ERR1529809,0,0.0
ERR1529832,0,0
ERR1529868,0,0
ERR1529918,0,0.0
ERR1529965,0,0.0
ERR1530074,0,0.0
ERR1530209,0,0
ERR1530242,0,0
ERR1530268,0,0.0
ERR1530824,1,59.1
ERR1530899,1,18.2
ERR1530987,1,46.0
ERR1531070,0,0.0
ERR1531159,5,92.5
ERR1531210,0,0
ERR1531216,1,57.1
ERR1531272,1,66.7
ERR1531295,1,100.0
ERR1531350,2,76.5
ERR1531378,0,0
ERR1531418,1,81.8
ERR1531520,0,0
ERR1531641,0,0
ERR1531703,1,88.9
ERR1531740,0,0.0
ERR1531775,0,0.0
ERR1531776,0,0.0
ERR1531804,0,0.0
ERR1531898,1,80.0
ERR1531929,1,75.0
ERR1532051,0,0.0
ERR1532092,0,0.0
ERR1532142,0,0.0
ERR1532178,1,100.0
ERR1532180,2,40.0
ERR1532296,0,0.0
ERR1533520,1,55.9
ERR1533555,1,49.8
ERR1533635,2,100.0
ERR1533677,1,90.0
ERR1533746,1,94.8
ERR1533840,1,100.0
ERR1533911,1,93.7
ERR1535946,1,7.1
ERR1535971,1,38.1
ERR1538312,0,0.0
ERR1538372,0,0
ERR1538453,1,100.0
ERR1538456,0,0
ERR1538534,0,0.0
ERR1538563,1,33.3
ERR1538611,0,0.0
ERR1538752,0,0.0
ERR1538886,1,7.1
ERR1539206,0,0.0
ERR1539346,958,84.8
ERR1539370,1268,83.9
ERR1539393,1112,86.1
ERR1539408,933,85.2
ERR1539432,1288,83.9
ERR1539490,1429,81.2
ERR1539542,1429,83.6
ERR1539543,248,96.4
ERR1539574,936,82.7
ERR1543602,0,0.0
ERR1543787,206,32.0
ERR1543813,0,0.0
ERR1543871,0,0.0
ERR1543888,0,0.0
ERR1543901,0,0.0
ERR1543980,406,79.4
ERR1543983,221,91.9
ERR1544090,1,16.7
ERR1544093,0,0.0
ERR1544124,2,20.0
ERR1544125,1,100.0
ERR1544146,0,0.0
ERR1544243,1,20.0
ERR1544260,0,0.0
ERR1544318,1,2.0
ERR1544376,1,3.8
ERR1544385,1,0.0
ERR1544425,1,0.2
ERR1545625,1,26.1
ERR1545640,2,2.6
ERR1545654,1,0.0
ERR1545674,1,1.1
ERR1546014,0,0.0
ERR1546063,1,28.6
ERR1546228,1,3.4
ERR1546499,0,0.0
ERR1546500,0,0.0
ERR1546502,0,0.0
ERR1546508,0,0.0
ERR1546530,0,0.0
ERR1546736,1,10.9
ERR1546786,1,26.3
ERR1546826,1,96.1
ERR1546923,2,22.4
ERR1547114,1,5.0
ERR1548740,0,0
ERR1548785,0,0
ERR1548941,0,0
ERR1548961,0,0
ERR1550195,1,100.0
ERR1550203,0,0.0
ERR1550254,0,0.0
ERR1550397,0,0.0
ERR1550687,1,11.1
ERR1550754,0,0.0
ERR1550908,1,40.0
ERR1550982,0,0.0
ERR1551105,0,0.0
ERR1551151,0,0.0
ERR1551209,1,10.0
ERR1551637,1,60.9
ERR1551875,1,20.4
ERR1552016,2,3.8
ERR1552023,2,2.7
ERR1552118,0,0.0
ERR1552198,1,1.2
ERR1552634,1,16.7
ERR1552638,1,75.0
ERR1552704,1,40.0
ERR1552753,0,0.0
ERR1552827,1,83.3
ERR1552837,1,94.4
ERR1552920,1,50.0
ERR1552955,0,0.0
ERR1553074,0,0
ERR1553107,0,0
ERR1553127,0,0.0
ERR1553140,1,66.7
ERR1553288,1,80.0
ERR1553291,1,14.3
ERR1553377,0,0.0
ERR1553384,1,12.5
ERR1553401,1,33.3
ERR1553436,0,0.0
ERR1558002,1,5.0
ERR1558694,93,3.9
ERR1558764,0,0.0
ERR1558821,1,4.3
ERR1558865,0,0.0
ERR1558873,1,21.4
ERR1558887,1,11.1
ERR1558910,1,57.1
ERR1559006,2,81.8
ERR1559798,96,2.6
ERR1562574,290,28.7
ERR1578639,995,87.3
ERR1580652,2,76.2
ERR1580713,0,0
ERR1580809,0,0
ERR1580846,1,40.0
ERR1580873,1,33.3
ERR1580932,1,33.3
ERR1581004,0,0.0
ERR1581024,1,97.7
ERR1581092,1,99.7
ERR1581194,0,0.0
ERR1581396,1,75.0
ERR1581408,0,0.0
ERR1581494,2,66.7
ERR1581574,0,0.0
ERR1581779,1,96.7
ERR1581796,0,0
ERR1581855,1,96.9
ERR1581895,1,14.3
ERR1582127,1,33.3
ERR1582145,0,0.0
ERR1582424,0,0.0
ERR1582515,0,0.0
ERR1582562,1,15.8
